*ref00000 09:58:09.32 +02:06:13.9
@ob00049 09:58:48.2131 +02:15:10.396 -2.0
@ob02822 09:58:48.3465 +02:15:14.396 -2.0
@ob00050 09:58:08.7223 +02:17:36.374 -2.0
@ob02823 09:58:08.8557 +02:17:40.374 -2.0
@ob00051 09:58:25.6298 +02:23:00.807 -2.0
@ob02824 09:58:25.7633 +02:23:04.807 -2.0
@ob00052 09:58:00.0812 +02:14:49.625 -2.0
@ob02825 09:58:00.2147 +02:14:53.625 -2.0
@ob00053 09:59:00.3551 +02:12:33.396 -2.0
@ob02826 09:59:00.4886 +02:12:37.396 -2.0
@ob00054 09:58:34.8937 +02:24:09.259 -2.0
@ob02827 09:58:35.0271 +02:24:13.259 -2.0
@ob00055 09:58:28.2200 +02:12:56.155 -2.0
@ob02828 09:58:28.3534 +02:13:00.155 -2.0
@ob00056 09:58:14.5566 +02:23:38.541 -2.0
@ob02829 09:58:14.6900 +02:23:42.541 -2.0
@ob00057 09:58:44.3639 +02:07:35.542 -2.0
@ob02830 09:58:44.4973 +02:07:39.542 -2.0
@ob00058 09:58:27.5193 +02:02:43.505 -2.0
@ob02831 09:58:27.6527 +02:02:47.505 -2.0
@ob00059 09:58:07.0803 +02:20:26.067 -2.0
@ob02832 09:58:07.2137 +02:20:30.067 -2.0
@ob00060 09:58:37.9104 +02:16:11.676 -2.0
@ob02833 09:58:38.0439 +02:16:15.676 -2.0
@ob00061 09:58:27.3761 +02:12:46.632 -2.0
@ob02834 09:58:27.5095 +02:12:50.632 -2.0
@ob00062 09:58:34.3457 +02:01:08.069 -2.0
@ob02835 09:58:34.4791 +02:01:12.069 -2.0
@ob00063 09:58:32.3856 +02:06:50.665 -2.0
@ob02836 09:58:32.5190 +02:06:54.665 -2.0
@ob00064 09:58:57.5657 +02:13:33.196 -2.0
@ob02837 09:58:57.6991 +02:13:37.196 -2.0
@ob00065 09:58:14.0414 +02:08:50.235 -2.0
@ob02838 09:58:14.1748 +02:08:54.235 -2.0
@ob00066 09:58:32.4107 +02:22:43.116 -2.0
@ob02839 09:58:32.5442 +02:22:47.116 -2.0
@ob00067 09:58:30.0793 +02:17:10.715 -2.0
@ob02840 09:58:30.2128 +02:17:14.715 -2.0
@ob00068 09:58:40.0543 +02:18:09.930 -2.0
@ob02841 09:58:40.1877 +02:18:13.930 -2.0
@ob00069 09:58:41.1381 +02:00:52.876 -2.0
@ob02842 09:58:41.2715 +02:00:56.876 -2.0
@ob00070 09:58:54.4714 +02:17:01.140 -2.0
@ob02843 09:58:54.6048 +02:17:05.140 -2.0
@ob00071 09:58:20.2300 +02:02:40.238 -2.0
@ob02844 09:58:20.3634 +02:02:44.238 -2.0
@ob00072 09:58:29.2704 +02:07:04.866 -2.0
@ob02845 09:58:29.4038 +02:07:08.866 -2.0
@ob00073 09:58:13.2464 +02:25:36.210 -2.0
@ob02846 09:58:13.3799 +02:25:40.210 -2.0
@ob00074 09:58:37.5289 +02:15:10.865 -2.0
@ob02847 09:58:37.6624 +02:15:14.865 -2.0
@ob00075 09:58:23.1923 +02:20:20.743 -2.0
@ob02848 09:58:23.3258 +02:20:24.743 -2.0
@ob00076 09:58:15.9067 +02:24:22.697 -2.0
@ob02849 09:58:16.0402 +02:24:26.697 -2.0
@ob00077 09:58:25.1374 +02:22:41.574 -2.0
@ob02850 09:58:25.2708 +02:22:45.574 -2.0
@ob00078 09:58:15.4822 +02:10:08.461 -2.0
@ob02851 09:58:15.6157 +02:10:12.461 -2.0
@ob00079 09:58:46.7801 +02:01:11.605 -2.0
@ob02852 09:58:46.9135 +02:01:15.605 -2.0
@ob00080 09:58:12.0126 +02:01:34.065 -2.0
@ob02853 09:58:12.1460 +02:01:38.065 -2.0
@ob00081 09:58:12.9217 +02:01:55.567 -2.0
@ob02854 09:58:13.0551 +02:01:59.567 -2.0
@ob00082 09:58:03.3281 +02:04:54.143 -2.0
@ob02855 09:58:03.4616 +02:04:58.143 -2.0
@ob00083 09:57:59.0936 +02:12:54.862 -2.0
@ob02856 09:57:59.2270 +02:12:58.862 -2.0
@ob00084 09:58:17.9983 +02:19:04.283 -2.0
@ob02857 09:58:18.1318 +02:19:08.283 -2.0
@ob00085 09:58:39.3354 +02:19:23.139 -2.0
@ob02858 09:58:39.4689 +02:19:27.139 -2.0
@ob00086 09:58:44.8548 +02:11:00.425 -2.0
@ob02859 09:58:44.9883 +02:11:04.425 -2.0
@ob00087 09:58:33.8608 +02:17:20.318 -2.0
@ob02860 09:58:33.9942 +02:17:24.318 -2.0
@ob00088 09:58:13.5935 +02:19:35.151 -2.0
@ob02861 09:58:13.7270 +02:19:39.151 -2.0
@ob00089 09:58:37.1972 +02:07:28.654 -2.0
@ob02862 09:58:37.3306 +02:07:32.654 -2.0
@ob00090 09:58:51.6310 +02:08:57.965 -2.0
@ob02863 09:58:51.7644 +02:09:01.965 -2.0
@ob00091 09:58:08.7890 +02:16:54.131 -2.0
@ob02864 09:58:08.9225 +02:16:58.131 -2.0
@ob00092 09:58:17.4662 +02:24:02.983 -2.0
@ob02865 09:58:17.5997 +02:24:06.983 -2.0
@ob00093 09:57:53.6223 +02:15:58.226 -2.0
@ob02866 09:57:53.7557 +02:16:02.226 -2.0
@ob00094 09:58:38.9636 +02:05:08.214 -2.0
@ob02867 09:58:39.0970 +02:05:12.214 -2.0
@ob00095 09:58:26.2209 +02:14:15.616 -2.0
@ob02868 09:58:26.3543 +02:14:19.616 -2.0
@ob00096 09:58:55.6663 +02:13:50.362 -2.0
@ob02869 09:58:55.7997 +02:13:54.362 -2.0
@ob00097 09:58:13.8234 +02:15:51.787 -2.0
@ob02870 09:58:13.9568 +02:15:55.787 -2.0
@ob00098 09:57:54.6988 +02:12:18.209 -2.0
@ob02871 09:57:54.8322 +02:12:22.209 -2.0
@ob00099 09:58:06.2897 +02:04:33.501 -2.0
@ob02872 09:58:06.4231 +02:04:37.501 -2.0
@ob00100 09:58:20.2484 +02:01:50.021 -2.0
@ob02873 09:58:20.3818 +02:01:54.021 -2.0
@ob00101 09:58:55.6490 +02:14:44.028 -2.0
@ob02874 09:58:55.7825 +02:14:48.028 -2.0
@ob00102 09:59:25.9636 +02:11:24.064 -2.0
@ob02875 09:59:26.0970 +02:11:28.064 -2.0
@ob00103 09:58:57.0377 +02:22:34.732 -2.0
@ob02876 09:58:57.1711 +02:22:38.732 -2.0
@ob00104 09:58:37.2061 +02:19:56.230 -2.0
@ob02877 09:58:37.3396 +02:20:00.230 -2.0
@ob00105 09:58:44.5445 +02:04:16.579 -2.0
@ob02878 09:58:44.6779 +02:04:20.579 -2.0
@ob00106 09:58:41.8360 +02:19:44.244 -2.0
@ob02879 09:58:41.9694 +02:19:48.244 -2.0
@ob00107 09:58:15.9969 +02:19:14.677 -2.0
@ob02880 09:58:16.1303 +02:19:18.677 -2.0
@ob00108 09:58:45.6876 +02:15:17.647 -2.0
@ob02881 09:58:45.8210 +02:15:21.647 -2.0
@ob00109 09:58:40.4027 +02:14:43.469 -2.0
